Headings,Names,Codes,English Name,Nepali Name
1,Aadharbhut Bibaran,view_basic_details,View Basic Details,
1.1,Yojana SHAMBHANDI,view_yojana_shambhandi,Related To Planning ,योजना सम्बन्धि हेर्ने 
1.1.1,Expense Fatawari,view_expense_fatawari,View Expense fatawari,खर्चको फाँटवारी हेर्ने 
1.1.1.1,Create,create_expense_fatawari,Create Expense fatawari,खर्चको फाँटवारी थप्ने 
1.1.1.2,Update,update_expense_fatawari,Update Expense fatawari ,खर्चको फाँटवारी सच्याउने 
1.1.1.3,Delete,delete_expense_fatawari,Delete Expense fatawari ,खर्चको फाँटवारी मेटाउने 
1.1.2,Planning Type ,view_planning_type  ,View Planning Type ,योजनाको किसिम हेर्ने 
1.1.2.1,Create ,create_planning_type  ,Create Planning Type ,योजनाको किसिम थप्ने
1.1.2.2,Update,update_planning_type  ,Update Planning Type ,योजनाको फाँटवारी सच्याउने 
1.1.2.3,Delete,delete_planning_type  ,Delete Planning Type ,योजनाको फाँटवारी मेटाउने 
1.1.3,Planning Purpose,view_planning_purpose,View Planning Purpose,योजनाको उदेश्य हेर्ने 
1.1.3.1,Create ,create_planning_purpose,Create Planning Purpose,योजनाको उदेश्य थप्ने
1.1.3.2,Update,update_planning_purpose,Update Planning Purpose,योजनाको उदेश्य सच्याउने
1.1.3.3,Delete ,delete_planning_purpose,Delete Planning Purpose,योजनाको उदेश्य मेटाउने
1.1.4,Planning operation process,view_planning _operation _proces,View Planning operation process,योजना  स‌चालन प्रकृया हेर्ने
1.1.4.1,Create ,create_planning _operation _proces,Create Planning operation process,योजना स‌चालन प्रकृया थप्ने
1.1.4.2,Update,update_planning _operation _proces,Update Planning operation process,योजना स‌चालन प्रकृया सच्याउने
1.1.4.3,Delete ,delete_planning _operation _proces,Delete Planning operation process,योजना स‌चालन प्रकृया मेटाउने
1.1.5,Planning Nature ,view_planning_nature,View Planning Nature,योजनाको प्रकृति हेर्ने
1.1.5.1,Create ,create_planning_nature,Create Planning Nature,योजनाको प्रकृति थप्ने
1.1.5.2,Update,update_planning_nature,Update Planning Nature,योजनाको प्रकृति सच्याउने
1.1.5.3,Delete ,delete_planning_nature,Delete  Planning Nature,योजनाको प्रकृति मेटाउने
1.1.6,Planning Level,view_planning_leval,View Planning Leval,योजनाको स्तर हेर्ने
1.1.6.1,Create ,create_planning_leval,Create Planning Leval,योजनाको स्तर थप्ने
1.1.6.2,Update,update_planning_leval,Update Planning Nature,योजनाको स्तर सच्याउने
1.1.6.3,Delete ,delete_planning_leval,Delete Planning Leval,योजनाको स्तर मेटाउने
1.1.7,Planning Activities,view_planning_activities,View Planning Activities,योजना कृयाकलाप हेर्ने
1.1.7.1,Create ,create_planning_activities,Create Planning Activities,योजना कृयाकलाप थप्ने
1.1.7.2,Update,update_planning_activities,Update Planning Activities,योजना कृयाकलाप सच्याउने
1.1.7.3,Delete ,delete_planning_activities,Delete Planning Activities,योजना कृयाकलाप मेटाउने
1.1.8,Purchases Type,view_purchases_type,View Purchases Type,खरिदको प्रकार हेर्ने
1.1.8.1,Create ,create_purchases_type,Create Purchases Type,खरिदको प्रकार थप्ने
1.1.8.2,Update,update_purchases_type,Update Purchases Type,खरिदको प्रकार सच्याउने
1.1.8.3,Delete ,delete_purchases_type,Delete Purchases Type,खरिदको प्रकार मेटाउने
1.1.9,Preference Type,view_preference_type,View Preference Type,प्राथमिकताको प्रकार हेर्ने
1.1.9.1,Create ,create_preference_type,Create Preference Type,प्राथमिकताको प्रकार थप्ने
1.1.9.2,Update,update_preference_type,Update Preference Type,प्राथमिकताको प्रकार सच्याउने
1.1.9.3,Delete ,delete_preference_type,Delete Preference Type,प्राथमिकताको प्रकार मेटाउने
1.1.10,Plan Selection Method,view_plan_selection_method,View Plan Selection Method,योजना छनाैट आधार हेर्ने
1.1.10.1,Create ,create_plan_selection_method,Create Plan Selection Method,योजना छनाैट आधार थप्ने
1.1.10.2,Update,update_plan_selection_method,Update Plan Selection Method,योजना छनाैट आधारसच्याउने
1.1.10.3,Delete ,delete_plan_selection_method,Delete Plan Selection Method,योजना छनाैट आधार मेटाउने
1.1.11,Stragetic Signal ,view_stragetic_signal,View Stragetic Signal ,रणनैतिक स‌केत हेर्ने
1.1.11.1,Create ,create_stragetic_signal,CreateStragetic Signal ,रणनैतिक स‌केत थप्ने
1.1.11.2,Update,update_stragetic_signal,Update Stragetic Signal ,रणनैतिक स‌केत सच्याउने
1.1.11.3,Delete ,delete_stragetic_signal,Delete Stragetic Signal ,रणनैतिक स‌केत मेटाउने
1.1.12,Program,view_program,View Program,कार्यक्रम हेर्ने
1.1.12.1,Create ,create_program,Crete Program,कार्यक्रम थप्ने
1.1.12.2,Update,update_program,Update Program,कार्यक्रम सच्यउने
1.1.12.3,Delete ,delete_program,Delete Program,कार्यक्रम मेटाउने
1.1.13,Target Group,view_target_group,View Target Group,लक्षित समुह हेर्ने
1.1.13.1,Create ,create_target_group,Create Target Group,लक्षित समुह थप्ने
1.1.13.2,Update,update_target_group,Update Target Group,लक्षित समुह सच्याउने
1.1.13.3,Delete ,delete_target_group,Delete Target Group,लक्षित समुह नेटाउने
1.1.14,Unit Type,view_unit_type,View unit type,ईकाइको प्रकार हेर्ने
1.1.14.1,Create ,create_unit_type,Create unit type,ईकाइको प्रकार थप्ने
1.1.14.2,Update,update_unit_type,Update unit type,ईकाइको प्रकार सच्चाउने
1.1.14.3,Delete ,delete_unit_type,Delete unit type,ईकाइको प्रकार मेटाउने
1.1.15,Planning Status,view_planning_status,View planning status,योजनाको अबस्था हेर्ने
1.1.15.1,Create ,create_planning_status,Create planning status,योजनाको अबस्था थप्ने
1.1.15.2,Update,update_planning_status,Update planning status,योजनाको अबस्था सच्चाउने
1.1.15.3,Delete ,delete_planning_status,Delete planning status,योजनाको अबस्था मेटाउने
1.1.16,Contrator Type,view_contrator_type,View contrator type,ठेकदारको प्रकार हेर्ने
1.1.16.1,Create ,create_contrator_type,Create contrator type,ठेकदारको प्रकार थप्ने
1.1.16.2,Update,update_contrator_type,Update contrator type,ठेकदारको प्रकार सच्चाउने
1.1.16.3,Delete ,delete_contrator_type,Delete contrator type,ठेकदारको प्रकार मेटाउने
1.1.17,Document Type,view_document_type,View document type,कागजातको प्रकार हेेर्ने
1.1.17.1,Create ,create_document_type,Create document type,कागजातको प्रकार हेर्ने
1.1.17.2,Update,update_document_type,Update document type,कागजातको प्रकार सच्चाउने
1.1.17.3,Delete ,delete_document_type,Delete document type,कागजातको प्रकार मेटाउने
1.2,Sadharan,view_sadharan,View sadharan,साधारण हेर्ने
1.2.1,Local Leval / Office,view_local_level_office,View Local Leval / Office,कार्यालय स्थानीय तह हेर्ने
1.2.1.1,Office,view_office,View Office ,कार्यालय हेर्ने
1.2.1.1.1,Create ,create_office,create office,कार्यालय थप्ने
1.2.1.1.2,Update,update_office,Update office,कार्यालय स्थाच्याउने
1.2.1.1.3,Delete ,delete_office,Delete office,कार्यालय मेटाउने
1.2.1.2,Office type,office_type,View office Type,कार्यालयको प्रकार हेर्ने
1.2.1.2.1,Create ,create_office_type,Create Office Type,कार्यालयको प्रकाार थप्ने
