client_id,code,name_en,name_np,Address Maping Code,Address Maping ID,Address Mapping Name English,Address Mapping Name Nepali
1,sys,System,प्रशासन,,,,
2,demo,Demo,डेमो,,,,
3,Surya,Surya Binayak Municipality,सुर्यविनायक नगरपालिका कार्यालय,2593,2593,Suryabinayak Municipality,सुर्यबिनायक नगरपालिका
4,bhimad,Bhimad Municipality,भिमाद नगरपालिका,2794,2794,Bhimad Municipality,भिमाद नगरपालिका
6,gramthan,Gramthan Rural Municipality,ग्रामथान गाउँपालिका,2138,2138,Gramthan Rural Municipality,ग्रामथान गाउँपालिका
7,dharma,Dharmadevi Nagar palika,धर्मदेवी नगरपालिका,2192,2192,Dharma Devi Municipality,धर्म देवि नगरपालीका
8,shambhu,Shambhunath Municipality,शम्भुनाथ नगरपालिका,2286,2286,Shambhunath Municipality,शम्भुनाथ नगरपालीका
9,bansgadi,Bansgadhi Municipality,बाँसगढी नगरपालिका,2301,2301,BANSGADHI MUNICIPALITY,बाँसगढी नगरपालिका
10,gajuri,Gajuri Rural Municipal,गजुरी गाउपालिका,2686,2686,Gajuri Rural Municipality,गजुरी गाउँपालिका
11,chaubise,Chaubise Rural Municipality,चौविसे गाउँपालिका,2188,2188,Chaubise Rural Municipality,चौबिसे गाउँपालिका
12,bateshwor,Bateshwor Rural Municipality,बट्टेश्वर गाउँपालिका,2364,2364,Bateswar Rural Municipality,बट्टेश्वर गाउँपालिका
13,bagmati,Bagmati Municipality,बागमती नगरपालिका,2418,2418,Bagmati Municipality,बागमती नगरपालिका
14,roshi,Roshi Rural Municipality,रोशी गाउँपालिका,2577,2577,Roshi Rural Municipality,रोशी गाउँँपालिका
15,basbariya,Basbariya Rural Municipality,बसबरिया गाउँपालिका,2481,3075,Basbariya Rural Municipality,बसबरिया गाउँपालिका
16,shudd,Shuddhodhan Rural Municipality,शुद्धोधन गाउँपालिका,2493,2493,Suddhodhan Rural Municipality,शुद्धोधन गाउँपालिका
17,ghodaghodi,Ghodaghodi Municipality,घोडाघोडी नगरपालिका,2678,2678,Ghodaghodi Municipality,घोडाघोडी नगरपालिका
18,pakhribas,Pakhribas Municipality,पाख्रीबास नगरपालिका,2164,2164,Pakhirbas Municipaltiy,पाख्र्रीबास नगरपालिका
19,butwal,Butwal Sub-Metropolitan City,बुटवल उप-महानगरपालिका,2317,2317,Butwal Sub-Metropolitan City,बुटवल उपमहानगरपालिका
20,biratnagar,Biratnagar Metropolitan,विराटनगर महानगरपालिका,2127,2127,Biratnagar Metropolitan City,विराटनगर महानगरपालिका
21,pokhara,Pokhara Lekhnath Metropolitan City,पोखरा लेखनाथ महानगरपालिका,2955,2955,Pokhara Metropolitan City,पोखरा महानगरपालिका
22,dharan,Dharan Sub-Metropolitan City,धरान उपमहानगरपालिका,2149,2149,Dharan Sub-Metropolitan City,धरान उप-महानगरपालिका
23,Ithari,Itahari Sub-Metropolitan City Office,इटहरी उप-महानगरपालिका कार्यालय,2150,2150,Ithari Sub-Metropolitan City,ईटहरी उप-महानगरपालिका
24,birgunj,Birgunj Metropolitan City,वीरगंज महानगरपालिका,2875,2875,Birgunj MetropolitanCity,वीरगंज महानगरपालिका
25,Lahan,Lahan Municipality,लहान नगरपालिका,2297,2297,Lahan Municipality,लहान नगरपालीका
26,Lalitpur,Lalitpur Metropolitan City,ललितपुर महानगरपालिका कार्यालय,2579,2579,Lalitapur Metropolian,ललितपुर महानगरपालिका
27,hetauda,Hetauda Submetropolitan City,हेटौडा उपमहानगरपालिका,2676,2676,Hetauda Sub-Metropolitain,हेटौडा उप महानगरपालीका
28,tulsipur,Tulsipur Sub-Metropolitan City,तुलसीपुर उप-महानगरपालिका,2139,2139,Tulshipur SMC,तुल्सीपुर उप-महानगरपालिका
29,gorakha,Gorkha Municipality,गोरखा नगरपालिका,2749,2749,Ghorakha Municipality,गोरखा नगरपालिका
30,bharatpur,Bharatpur Metropolitan City,भरतपुर महानगरपालिका,2732,2732,Bharatpur Metropolitian,भरतपुर महानगरपालिका
31,dhulikhel,Dhulikhel Municipality,धुलिखेल नगरपालिका,2541,2541,Dhulikhel Municipality,धुलिखेल नगरपालिका
32,Lalit2,kachankawal Rural Municipality,कचनकवल गाउँपालिका,2126,2126,Kanachanakabal Rural Municipality,कचनकबल गाउँपालिका
33,chaudandi,chaudandigadhi Municipality,चौदण्डीगढी नगरपालिका,2269,2269,Chaudadhigadi Municipality,चौदण्डीगढी नगरपालिका
