id,code,client_id,master_ref_id,name_en,name_np,parent_id,federal_level_type_id,description,status,is_current,created_by,created_on,updated_by,updated_on,deleted_by,deleted_on,is_deleted,deleted_uq_code,is_old_data,client_ward
3075,2481,1,,Basbariya Rural Municipality,बसबरिया गाउँपालिका,2026,4,,t,t,,,,,,,f,1,f,
3076,2482,1,,Kodena Rural Municipality,कोडैना गाउँपालिका,2026,4,,t,t,,,,,,,f,1,f,
3077,2483,1,,Parsa Rural Municipality,पर्सा गाउँपालिका,2026,4,,t,t,,,,,,,f,1,f,
2007,2007,1,,Sudur Paschim Province,सुदूर पश्चिम प्रदेश,,2,,t,t,,,,,,,f,1,f,
2374,2374,1,,Manara Shisawa Municipaltiy,मनरा शिसवा नगरपालिका,2025,5,,t,t,,,,,,,f,1,f,
2356,2356,1,,Bardibas  Municipaltiy,बर्दिबास नगरपालिका,2025,5,,t,t,,,,,,,f,1,f,
2375,2375,1,,Matihani Municipaltiy,मटिहानी नगरपालिका,2025,5,,t,t,,,,,,,f,1,f,
2104,2104,1,,Maee Municipality,माई नगरपालिका,2010,5,,t,t,,,,,,,f,1,f,
2112,2112,1,,Mechinagar Municipality,मेचिनगर नगरपालिका,2019,5,,t,t,,,,,,,f,1,f,
2113,2113,1,,Kankai municipality,कन्काई नगरपालिका,2019,5,,t,t,,,,,,,f,1,f,
2152,2152,1,,Inaruwa Muncipality,ईनरूवा नगरपालिका,2021,5,,t,t,,,,,,,f,1,f,
2155,2155,1,,Ramdhuni Municipality,रामधुनी नगरपालिका,2021,5,,t,t,,,,,,,f,1,f,
2506,2506,1,,Barabise Municipality,बाह्रबिसे नगरपालिका,2034,5,,t,t,,,,,,,f,1,f,
2507,2507,1,,Melamchi Municipality,मेलम्ची नगरपालिका,2034,5,,t,t,,,,,,,f,1,f,
3011,3011,1,,Jaimini Municipality,जैमिनी नगरपालिका,2052,5,,t,t,,,,,,,f,1,f,
2139,2139,1,,Tulshipur SMC,तुल्सीपुर उप-महानगरपालिका,2063,6,,t,t,,,,,,,f,1,f,
2145,2145,1,,Ghorahi SMC,घोराही उप-महानगरपालिका,2063,6,,t,t,,,,,,,f,1,f,
2170,2170,1,,Nepalgunj SMC,नेपालगंज उप-महानगरपालिका,2064,6,,t,t,,,,,,,f,1,f,
2675,2675,1,,Dhangadi SMC,धनगढी उपमहानगरपालिका,2084,6,,t,t,,,,,,,f,1,f,
2595,2595,1,,Kathmandu Metropolian,काठमाण्डौ महानगरपालिका,2042,7,,t,t,,,,,,,f,1,f,
2085,2085,1,,Fungling Municipality,फुङलिङ नगरपालिका,2008,5,,t,t,,,,,,,f,1,f,
2102,2102,1,,Ilam  Municipaltiy,ईलाम नगरपालिका,2010,5,,t,t,,,,,,,f,1,f,
2118,2118,1,,Gauradaha Municipality,गौरादह नगरपालिका,2019,5,,t,t,,,,,,,f,1,f,
2128,2128,1,,Belbari Municipality,बेलबारी  नगरपालिका,2020,5,,t,t,,,,,,,f,1,f,
2129,2129,1,,Letang Municipality,लेटाङ नगरपालिका,2020,5,,t,t,,,,,,,f,1,f,
2130,2130,1,,Rangali Muncipality,रगेली नगरपालिका,2020,5,,t,t,,,,,,,f,1,f,
2133,2133,1,,Urlabari Municipaltiy,उर्लावारी नगरपालिका,2020,5,,t,t,,,,,,,f,1,f,
2134,2134,1,,Sundarharicha Muncipality,सुन्दरहरैचा नगरपालिका,2020,5,,t,t,,,,,,,f,1,f,
2151,2151,1,,Lamhi Municipality,लमही नगरपालिका,2063,5,,t,t,,,,,,,f,1,f,
2164,2164,1,,Pakhirbas  Municipaltiy,पाख्र्रीबास नगरपालिका,2013,5,,t,t,,,,,,,f,1,f,
2172,2172,1,,Kohalpur Municipality,कोहलपुर नगरपालिका,2064,5,,t,t,,,,,,,f,1,f,
2444,2444,1,,Jiri Municipality,जिरी नगरपालिका,2030,5,,t,t,,,1001,03:43.6,,,f,1,f,
2106,2106,1,,Suryodaya Municipaltiy,सुर्योदय नगरपालिका,2010,5,,t,t,,,1001,21:22.7,,,f,1,f,
2218,2218,1,,Shidhicharana Municipality,सिद्धिचरण नगरपालिका,2017,5,,t,t,,,1001,32:32.0,,,f,1,f,
2117,2117,1,,Shivasataxi Municipality,शिबसताक्षी नगरपालिका,2019,5,,t,t,,,1001,36:21.2,,,f,1,f,
2120,2120,1,,Birtamoda Municipality,बिर्तामोड नगरपालिका,2019,5,,t,t,,,1001,36:51.3,,,f,1,f,
2131,2131,1,,Pathari Sanischare Municipality,पथरी शनीश्ररे नगरपालिका,2020,5,,t,t,,,1001,49:50.3,,,f,1,f,
2135,2135,1,,Sunbarsi Municipality,सुनर्बषी नगरपालिका,2020,5,,t,t,,,1001,50:30.9,,,f,1,f,
